,position,reverse,coefficient,imodulon
b0509,536585,False,0.321224267661,AllR/AraC/FucR
b0508,535709,False,0.316051908943,AllR/AraC/FucR
b0507,533915,False,0.265126662926,AllR/AraC/FucR
b0512,539146,False,0.248491037057,AllR/AraC/FucR
b0063,70248,True,0.176550229787,AllR/AraC/FucR
b0062,68537,True,0.164870677981,AllR/AraC/FucR
b0505,532450,False,0.161867025826,AllR/AraC/FucR
b0061,66750,True,0.1590185926,AllR/AraC/FucR
b0511,537632,False,0.150538624904,AllR/AraC/FucR
b1901,1986328,True,0.13578834291,AllR/AraC/FucR
b2801,2934234,False,0.107153682013,AllR/AraC/FucR
b2802,2935583,False,0.100579648649,AllR/AraC/FucR
b2841,2982382,True,0.0975348751998,AllR/AraC/FucR
b1900,1985269,True,0.091064762861,AllR/AraC/FucR
b2799,2933213,True,0.0900707705285,AllR/AraC/FucR
b2800,2933888,True,0.0879328209115,AllR/AraC/FucR
b2803,2937467,False,0.0874471205165,AllR/AraC/FucR
b4460,1983740,True,0.0872304873034,AllR/AraC/FucR
b0721,755176,False,0.134324873481,ArcA-1
b2980,3128271,False,0.126146877709,ArcA-1
b0722,755559,False,0.125284148957,ArcA-1
b2181,2278437,True,0.11904722567,ArcA-1
b3820,4004897,True,0.11172993693,ArcA-1
b0432,451810,True,0.110371096583,ArcA-1
b1518,1606998,False,0.100233277193,ArcA-1
b0113,122091,False,0.100127176914,ArcA-1
b1422,1495271,True,0.0988392634361,ArcA-1
b1778,1862629,True,0.0962133871947,ArcA-1
b3426,3562012,False,0.0948174378623,ArcA-1
b2587,2725946,True,0.0902288258177,ArcA-1
b0346,368620,True,0.0868696594113,ArcA-1
b0458,479451,True,0.0858625864945,ArcA-1
b0723,755906,False,0.0853936052974,ArcA-1
b3603,3777398,False,0.0843290034344,ArcA-1
b3962,4160990,True,0.082477604334,ArcA-1
b3351,3481361,True,0.0823892535808999,ArcA-1
b1189,1237570,False,0.0819518988886,ArcA-1
b0431,450841,True,0.080991891085,ArcA-1
b1332,1397364,False,0.0804498355866,ArcA-1
b1777,1862174,True,0.0776737062621999,ArcA-1
b2518,2645064,True,0.0774489039626999,ArcA-1
b1298,1361119,False,0.0760584342397,ArcA-1
b3894,4086022,True,0.0752265182086,ArcA-1
b0724,757688,False,0.0734480080954,ArcA-1
b0836,878247,False,0.0708866482936999,ArcA-1
b0430,448860,True,0.0702634990043,ArcA-1
b2582,2718734,False,0.0690608220445,ArcA-1
b3452,3591111,True,0.0686957242719999,ArcA-1
b2210,2306954,True,0.0671963956069,ArcA-1
b1607,1682230,True,0.0667925093471,ArcA-1
b0557,579093,True,0.0659468008306,ArcA-1
b1020,1084991,False,0.0651563381962,ArcA-1
b1190,1238878,False,0.0650828389296,ArcA-1
b3453,3592525,True,0.0626936048457,ArcA-1
b0429,448246,True,0.0620126142869,ArcA-1
b0330,348643,True,0.0603177655928,ArcA-1
b4705,853197,True,0.0599553876758,ArcA-1
b1297,1361108,True,0.0593305958028,ArcA-1
b0124,141425,True,0.0591604375259,ArcA-1
b1748,1832182,True,0.0583869673745,ArcA-1
b3528,3683647,True,0.058092418267,ArcA-1
b2241,2352646,False,-0.0641355796328,ArcA-1
b2848,2989303,False,-0.0662051000166,ArcA-1
b0042,43187,False,-0.0673000162939,ArcA-1
b2242,2354264,False,-0.0850964981253,ArcA-1
b2847,2988501,False,-0.0857353376813,ArcA-1
b0848,890088,False,-0.0913710471307,ArcA-1
b0621,656168,True,-0.0936470308172,ArcA-1
b2725,2850635,True,0.142711499785,ArcA-2
b2998,3146937,True,0.134291447639,ArcA-2
b0973,1033253,False,0.127733444493,ArcA-2
b0976,1036353,False,0.125506991203,ArcA-2
b0977,1036748,False,0.116583215615,ArcA-2
b0974,1035065,False,0.112803303058,ArcA-2
b0975,1035769,False,0.111532523065,ArcA-2
b0972,1032138,False,0.110246552166,ArcA-2
b4071,4289244,False,0.102210008038,ArcA-2
b0034,34299,False,0.0995344499284,ArcA-2
b2720,2844952,True,0.0907413813368,ArcA-2
b0978,1037739,False,0.086150550305,ArcA-2
b0979,1039295,False,0.0842672034081,ArcA-2
b0763,795088,False,0.0831886074106,ArcA-2
b4070,4287763,False,0.0831368122726999,ArcA-2
b4073,4290475,False,0.0817540709378999,ArcA-2
b0734,773041,False,-0.083061636658,ArcA-2
b0430,448860,True,-0.0841855232368,ArcA-2
b0429,448246,True,-0.0846244499507,ArcA-2
b0733,771457,False,-0.0883221735013,ArcA-2
b0431,450841,True,-0.0984781198821999,ArcA-2
b0432,451810,True,-0.101116079868,ArcA-2
b1109,1166084,False,-0.103147405843,ArcA-2
b2579,2716649,True,-0.123017256735,ArcA-2
b1256,1314019,False,-0.186183207759,ArcA-2
b4254,4478511,True,0.318624743359,ArgR
b0273,290505,True,0.278845583764,ArgR
b3958,4155000,False,0.258739996912,ArgR
b2818,2949241,False,0.233153067299,ArgR
b0860,900775,True,0.227674948757,ArgR
b3959,4156012,False,0.210705693348,ArgR
b3359,3490380,True,0.178401881019,ArgR
b3172,3318636,False,0.177438886641,ArgR
b3960,4156849,False,0.177192128963,ArgR
b3957,4155047,True,0.0978482787867,ArgR
b0709,742756,True,0.0977544037753,ArgR
b0272,289362,True,0.0913866373941,ArgR
b0032,29650,False,0.0899796027536,ArgR
b2221,2323446,False,0.294311708204,AtoC
b2222,2324108,False,0.281615210572,AtoC
b2223,2324755,False,0.191931983763,AtoC
b1800,1881911,False,0.179328632247,AtoC
b2224,2326108,False,0.129090376547,AtoC
b1796,1879785,True,0.108099153502,AtoC
b4252,4474861,False,0.320937096905,BW25113
b0350,372114,False,0.276486982033,BW25113
b4253,4475436,False,0.215759164992,BW25113
b0351,372920,False,0.210721045684,BW25113
b0349,371238,False,0.193780299242,BW25113
b0352,373867,False,0.176638686444,BW25113
b2899,3043348,True,0.172957178037,BW25113
b2323,2441805,True,0.113609887996,BW25113
b2599,2737744,False,0.102751769603,BW25113
b0954,1016670,True,0.0889955519116,BW25113
b4350,4586961,True,-0.0940180731735,BW25113
b4363,4602297,True,-0.0998103526406,BW25113
b3903,4096182,True,-0.112059560264,BW25113
b0061,66750,True,-0.121261616707,BW25113
b0344,366505,True,-0.143485133376,BW25113
b0063,70248,True,-0.194855122442,BW25113
b0062,68537,True,-0.245396894677,BW25113
b0937,997712,True,0.223452977877,Cbl+CysB
b0365,385231,False,0.21822991616,Cbl+CysB
b0367,386970,False,0.216589017915,Cbl+CysB
b0366,386206,False,0.195171516201,Cbl+CysB
b0368,387794,False,0.177913418364,Cbl+CysB
b0936,997144,True,0.177398945834,Cbl+CysB
b0935,996188,True,0.17135557674,Cbl+CysB
b0934,995032,True,0.161952274622,Cbl+CysB
b3917,4108833,False,0.150832769007,Cbl+CysB
b4326,4556992,False,0.105547985004,Cbl+CysB
b3127,3275107,True,0.342393091043,CdaR
b3126,3273757,True,0.333330981609,CdaR
b2789,2922300,True,0.324667172001,CdaR
b3125,3272951,True,0.305189332284,CdaR
b2787,2919585,True,0.257501437949,CdaR
b2788,2920946,True,0.256147916681,CdaR
b3124,3271970,True,0.246489817045,CdaR
b3128,3275281,False,0.219957947177,CdaR
b0162,182462,False,0.13539329945,CdaR
b1800,1881911,False,0.0991495097006,CdaR
b0795,830172,True,0.228742024953,CecR
b0794,829181,True,0.203338029784,CecR
b0793,827452,True,0.200773033611,CecR
b0792,826308,True,0.198534690404,CecR
b0796,830843,True,-0.27205907714,CecR
b0572,595599,False,0.481008252785,Copper
b0573,597130,False,0.45043912608,Copper
b0574,597478,False,0.425392920625,Copper
b0575,598713,False,0.337475358821,Copper
b0571,595643,True,0.15773638895,Copper
b0570,594970,True,0.147395468745,Copper
b0484,511579,True,0.0969235035457,Copper
b0123,137082,False,0.0722003232181,Copper
b4484,4105819,False,0.289190419585,CpxR
b1535,1624050,True,0.201997004701,CpxR
b1113,1170574,True,0.184040607745,CpxR
b1846,1929907,True,0.162495716664,CpxR
b1843,1925439,False,0.129084871006,CpxR
b0970,1031618,True,0.101888874601,CpxR
b2597,2737153,False,0.097830720195,CpxR
b4188,4416492,True,0.0968805225601,CpxR
b0461,480908,True,0.0963060334638,CpxR
b1902,1986924,False,0.0962144564778,CpxR
b3088,3238579,False,0.0919670070429,CpxR
b1829,1912776,True,0.0876931531417,CpxR
b0837,878741,False,0.0868683319076,CpxR
b1600,1673701,True,0.0777433771112,CpxR
b0460,480508,True,0.0777033879141,CpxR
b1597,1671375,False,-0.080996630395,CpxR
b0287,302990,False,-0.117706989163,CpxR
b2169,2263695,True,0.461724978504,Cra
b2168,2262565,True,0.375258079358,Cra
b2167,2261610,True,0.365541995301,Cra
b1241,1298321,True,0.131058227429,Cra
b2165,2258567,True,0.127057613872,Cra
b2927,3073891,True,0.121107660508,Cra
b2166,2259496,True,0.111722984414,Cra
b3612,3785259,False,0.101155334443,Cra
b2926,3072822,True,0.0715720601378999,Cra
b2925,3071444,True,0.0681497301714,Cra
b1780,1863849,False,0.0646478398324,Cra
b3365,3494010,False,0.0638772260641,Cra
b4232,4455809,True,-0.0709614990751,Cra
b1702,1787312,True,-0.202126215399,Cra
b0080,88027,False,-0.269700681266,Cra
b3708,3888729,False,0.150103357334,Crp-1
b4068,4285413,True,0.121835101943,Crp-1
b0553_1,577025,True,0.108809403767,Crp-1
b4067,4285102,True,0.102256254296,Crp-1
b3709,3890235,False,0.0978915700444,Crp-1
b4069,4287571,True,0.0945308209358,Crp-1
b0651,684612,True,0.0933006836658999,Crp-1
b0268,282277,False,0.0904430187118,Crp-1
b3599,3772280,False,0.086889886802,Crp-1
b1423,1495287,False,0.0801438384782,Crp-1
b1440,1511653,False,0.0793902730497,Crp-1
b4090,4313349,False,0.076564649446,Crp-1
b3600,3774423,False,0.0762023497814999,Crp-1
b4216,4439462,True,0.0756167609583,Crp-1
b0791,824629,False,0.0754040412941,Crp-1
b3601,3775571,False,0.0744832171652,Crp-1
b1415,1488231,False,0.0738482918713,Crp-1
b2175,2269978,False,0.0732989208798999,Crp-1
b4055,4269413,False,0.0728852460229,Crp-1
b4240,4466380,True,0.0714428703921,Crp-1
b3225,3373776,True,0.0712430796135,Crp-1
b2844,2985792,True,0.0706518327043,Crp-1
b3588,3756711,True,0.0704463391535,Crp-1
b2535,2665434,False,0.0686146760673,Crp-1
b0598,629893,False,0.0681788322891,Crp-1
b1441,1512816,False,0.0679749765245,Crp-1
b1976,2043650,False,0.065735608125,Crp-1
b2151,2241868,True,0.0648494384519,Crp-1
b4487,4313867,False,0.0643817244286,Crp-1
b1776,1861532,True,0.0626088216166,Crp-1
b3020,3167918,True,0.061701032729,Crp-1
b2166,2259496,True,0.0613194499009,Crp-1
b3224,3372774,True,0.0610294499972,Crp-1
b0721,755176,False,0.0595686342006,Crp-1
b2272,2386933,False,0.0590012093577,Crp-1
b3132,3278913,False,0.0587400398228,Crp-1
b0729,764179,False,0.058112689164,Crp-1
b4139,4368527,True,0.0571464482047,Crp-1
b1442,1513830,False,0.0564245452628,Crp-1
b2869,3005986,True,0.0563586660469,Crp-1
b0899,947228,False,0.0558758881107,Crp-1
b1895,1979752,False,0.0551115098824,Crp-1
b3934,4124656,True,0.0548756865524,Crp-1
b3748,3933350,False,0.0547032860081999,Crp-1
b3081,3231664,False,0.0546482570487,Crp-1
b3133,3280216,False,0.054641006972,Crp-1
b2957,3100928,True,0.0545710555687,Crp-1
b0080,88027,False,0.0544320532556,Crp-1
b3134,3280700,False,0.0539214396681,Crp-1
b1853,1936651,False,0.0536686856523,Crp-1
b0269,283200,False,0.0535730968668,Crp-1
b0306,321607,False,0.0534729539497,Crp-1
b1617,1696271,True,0.053410671365,Crp-1
b3092,3244941,True,0.0527683088192,Crp-1
b3570,3737377,True,0.0526858760983,Crp-1
b4128,4352583,False,-0.057969803156,Crp-1
b4123,4348944,True,-0.0589014809755,Crp-1
b1020,1084991,False,-0.0603437024521,Crp-1
b1008,1071155,True,-0.0612160673738,Crp-1
b0836,878247,False,-0.0620968238575,Crp-1
b2093,2174766,True,0.275007511176,Crp-2
b2092_2,2173562,True,0.266735280708,Crp-2
b2092_1,2174478,True,0.254217952059,Crp-2
b2091,2173073,True,0.253578229926,Crp-2
b2094,2175249,True,0.233687110684,Crp-2
b2095,2176521,True,0.210647023963,Crp-2
b2096,2177404,True,0.187817020824,Crp-2
b1426,1498650,False,0.141496054269,Crp-2
b2149,2239489,True,0.114381748725,Crp-2
b2150,2240548,True,0.112011725183,Crp-2
b2597,2737153,False,0.10398614809,Crp-2
b4498_1,2171927,True,0.0926901316196,Crp-2
b2148,2237953,True,0.092341701596,Crp-2
b1817,1902047,False,0.0854568765958,Crp-2
b1818,1903081,False,0.084033369375,Crp-2
b1819,1903894,False,0.0834372928787,Crp-2
b4357,4596051,True,0.0775646374071,Crp-2
b0553_1,577025,True,0.0717057317635,Crp-2
b1415,1488231,False,0.0705340495476,Crp-2
b1101,1157868,False,0.06435908882,Crp-2
b4021,4230342,True,0.0634718168798,Crp-2
b3001,3147896,False,0.0620040663658,Crp-2
b1145,1203133,True,0.0599491840576,Crp-2
b3358,3486790,False,0.0567945795105,Crp-2
b3403,3532817,False,0.0533306172801,Crp-2
b2239,2351211,True,0.0527685925246,Crp-2
b2151,2241868,True,0.0527325411999,Crp-2
b4267,4494606,True,0.0523700311167,Crp-2
b1205,1258790,False,0.0520401086534,Crp-2
b2796,2928228,False,0.0518742191201,Crp-2
b1143,1201496,False,0.0491028925804,Crp-2
b2240,2352574,True,0.0489791433486,Crp-2
b0723,755906,False,0.0489201084411,Crp-2
b2143,2231843,False,0.0483436861256,Crp-2
b1596,1669698,False,-0.0518681179181,Crp-2
b3774,3957969,False,-0.0522366930954,Crp-2
b3601,3775571,False,-0.0529965396673,Crp-2
